folder,material,alkaline_earth,boron_family,halogen,qtd_atoms,volume,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,space_group,etotal,Hf,Hf_per_atom,PDEntry,bandgap,direct,transition,e_above_hull
Al,Al,,Al,,1.0,16.491493205901968,2.8570970493797607,2.857097049350154,2.8570970493682832,60.00000000008492,60.00000000102632,60.000000000816414,225,-3.75285865,0.0,0.0,PDEntry : Al1 with energy = -3.7529,0.0,False,,5.18999999998826e-06
Al2Br,Al2Br,,Al,Br,4.0,189.5773733782332,7.762544840326366,7.762544840326366,3.1461415473619208,90.0,90.0,90.0,136,-15.10793024,0.3084617949999977,0.0514102991666662,PDEntry : Al4 Br2 with energy = -15.1079,0.0,False,,1.0279098811111118
Al2Br3,Al2Br3,,Al,Br,4.0,384.51869071514295,8.65067846764123,6.56743347614707,10.391593358488722,71.79949218714036,55.77084571566301,105.2642771141773,1,-30.96389888,-8.977591975,-0.8977591974999999,PDEntry : Al4 Br6 with energy = -30.9639,1.2552,False,"(-0.000,0.400,-0.000)-(-0.000,-0.000,0.500)",0.2839400499999973
Al2Cl,Al2Cl,,Al,Cl,4.0,167.83976334839886,7.608944675070488,7.608944675070492,2.898985250967615,90.0,90.0,90.0,136,-16.91763479,-1.425741870000003,-0.2376236450000005,PDEntry : Al4 Cl2 with energy = -16.9176,0.0,False,,0.9663721438888896
Al2Cl3,Al2Cl3,,Al,Cl,4.0,298.6006590879621,6.027888705762989,8.389087121004462,7.073186651640345,114.8382348351485,68.42203481217472,106.13460667290737,1,-36.30725189,-14.094442330000003,-1.4094442330000003,PDEntry : Al4 Cl6 with energy = -36.3073,2.1516,False,"(0.400,0.333,0.500)-(-0.400,0.333,0.000)",0.1817481869999961
Al2F,Al2F,,Al,F,4.0,105.53363790462691,6.293433517625836,6.293433517625836,2.6644993071399017,90.0,90.0,90.0,136,-23.35233685,-8.024196075000003,-1.3373660125000004,PDEntry : Al4 F2 with energy = -23.3523,0.0,False,,0.7831434183333346
Al2I,Al2I,,Al,I,4.0,243.63874883377625,8.205813788880276,8.205813788880276,3.6182872816476936,90.0,90.0,90.0,136,-13.30268598,1.87516471,0.3125274516666667,PDEntry : Al4 I2 with energy = -13.3027,0.0,False,,1.047042788214286
Al2I3,Al2I3,,Al,I,4.0,388.0683961527272,8.010544841681524,7.9875449374182175,8.395007912930447,118.50049564790504,61.57056759627904,120.10737287609382,146,-25.93345296,-4.662770090000002,-0.4662770090000002,PDEntry : Al4 I6 with energy = -25.9335,0.5697000000000001,False,"(-0.000,-0.000,0.500)-(0.500,0.500,0.500)",0.2798505967857103
Al3Br,Al3Br,,Al,Br,3.0,86.20174503483052,5.622350526506195,5.622350526506195,5.622350526506195,135.458858239673,135.458858239673,64.81806766763432,139,-11.65236432,-0.9113096525000016,-0.2278274131250004,PDEntry : Al3 Br1 with energy = -11.6524,0.0,False,,0.6845472733333295
Al3Br2,Al3Br2,,Al,Br,4.0,333.88643368051413,4.652040929030301,4.637186212398875,17.873984387900435,92.49637325036043,88.43513272338863,119.91528704295966,2,-32.32272684,-7.555660070000002,-0.7555660070000002,PDEntry : Br4 Al6 with energy = -32.3227,0.0,False,,0.2722334913333326
Al3Br7,Al3Br7,,Al,Br,28.0,1617.762150538765,13.587228595769837,9.633984420984616,12.358846457436952,90.02134742363899,89.97367842569585,89.98640343575404,33,-128.83699983,-46.45329194,-1.1613322985,PDEntry : Br28 Al12 with energy = -128.8370,3.3384,False,"(0.000,0.333,0.000)-(0.500,-0.000,-0.000)",0.0973168235833288
Al3Cl,Al3Cl,,Al,Cl,3.0,76.83390691274423,4.970539467049399,4.970539467049399,4.970539467049399,126.45218851580329,126.45218851580329,79.14620074902231,139,-12.40234745,-1.623542340000002,-0.4058855850000005,PDEntry : Al3 Cl1 with energy = -12.4023,0.0,False,,0.6771112566666622
Al3Cl2,Al3Cl2,,Al,Cl,4.0,300.1045086737507,4.615058938018659,4.596012125059811,16.59594532537592,89.73725918594738,81.0090130805772,119.86925820074998,2,-34.66397912,-9.74591058,-0.974591058,PDEntry : Cl4 Al6 with energy = -34.6640,0.0,False,,0.3262038886666665
Al3Cl7,Al3Cl7,,Al,Cl,28.0,1352.462288219543,12.76498476338144,9.13821052583242,11.594278109128368,89.98998118794034,89.99605475021359,89.99525099622863,33,-148.32681438,-64.88609410000001,-1.6221523525,PDEntry : Cl28 Al12 with energy = -148.3268,3.8717,False,"(0.000,0.333,0.000)-(0.000,0.000,0.000)",0.1142388041666611
Al3F,Al3F,,Al,F,3.0,62.03636155276234,4.443451443894046,4.443451443894046,4.443451443894046,60.00000000000001,60.00000000000001,60.00000000000001,225,-14.72068035,-4.023751312500002,-1.0059378281250004,PDEntry : Al3 F1 with energy = -14.7207,0.0,False,,0.764444245000004
Al3F2,Al3F2,,Al,F,4.0,169.32339971706566,6.307748004517492,4.7610492918380505,7.873183261460371,99.5358951806694,76.52991650206357,132.57182922698365,1,-44.25355705,-19.6629928,-1.96629928,PDEntry : F4 Al6 with energy = -44.2536,0.4064999999999994,False,"(0.000,0.000,0.000)-(-0.000,0.000,0.333)",0.4343120369999997
